,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind
1774,1.61,Uber,Haymarket Square,Theatre District,27.5,1.0,b2b3e544-f20a-46d8-9dca-7c6ebf687a56,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:13.02.07,36.8,0.64,991.57,,0.7,6.6
1163,1.21,Lyft,Theatre District,Haymarket Square,7.0,1.0,a299106e-7050-41b2-8cb1-4a5db31cf074,lyft,Lyft,2018-11-28:21.02.08,41.14,0.93,993.44,,0.63,8.49
883,2.27,Uber,Boston University,Beacon Hill,19.5,1.0,ad75c12e-c8e8-40e1-9bb1-2b56a4314230,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:15.02.08,39.45,0.27,991.74,,0.65,8.17
2093,3.04,Uber,West End,Boston University,9.0,1.0,ee14aba0-f03e-472c-83ca-eb201a9edb29,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:23.53.40,39.34,0.85,995.99,,0.66,10.35
3369,4.55,Uber,Financial District,Northeastern University,11.0,1.0,0be38b93-0e82-4715-a789-f07da48bebbe,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:11.32.07,33.1,0.42,991.0,,0.83,6.67
2683,2.61,Uber,Beacon Hill,Northeastern University,10.5,1.0,41239987-748c-42f7-b008-29bb65e4f1d6,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:10.32.07,32.62,0.16,991.43,,0.86,6.36
2932,3.19,Lyft,Fenway,North Station,19.5,1.0,443bc637-5501-4a8b-afe9-7fb681978625,lyft_premier,Lux,2018-12-14:01.45.03,30.07,0.79,1035.03,,0.69,2.28
1108,2.51,Lyft,Beacon Hill,South Station,30.0,1.0,1bf786ac-d1c6-4a6c-8a29-93a2dad2be4f,lyft_luxsuv,Lux Black XL,2018-11-28:13.32.07,38.39,0.55,991.84,,0.68,6.83
2639,1.26,Lyft,Haymarket Square,Financial District,7.0,1.0,92c8be3b-344b-4c43-b010-a61706b2f5e1,lyft,Lyft,2018-11-28:14.06.23,38.52,0.48,991.69,,0.67,11.22
1251,1.38,Uber,North End,Beacon Hill,18.0,1.0,afdfe477-3a6f-4bd0-b977-24de98277bdc,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-27:01.45.22,44.27,1.0,1004.45,0.693,0.9,13.31
3816,3.04,Uber,West End,Boston University,25.0,1.0,6d6fe9fa-743e-4958-bcee-dd8a7d4d7a63,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-12-02:23.52.56,48.26,1.0,1002.9,,0.94,3.85
3615,3.17,Uber,North End,Back Bay,,1.0,e345fab1-7a3d-4af4-92ea-e21c808b8eda,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-29:00.49.07,38.85,0.76,996.8,,0.7,9.67
2276,1.64,Uber,Back Bay,Northeastern University,16.0,1.0,9258c381-026a-4995-8f18-7bbfc3287026,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:16.02.07,41.4,0.61,991.57,,0.61,9.96
3283,1.22,Uber,Northeastern University,Back Bay,,1.0,bda2da9c-6cd6-44e4-abaa-efec68e5d3dc,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-26:04.43.18,40.61,0.86,1014.17,,0.93,2.65
142,1.22,Uber,Northeastern University,Back Bay,7.5,1.0,5432ffc2-f412-40b8-ad98-e027cd0d39ed,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29:02.02.08,38.51,0.54,997.83,,0.7,10.23
2981,2.62,Uber,Boston University,Theatre District,10.5,1.0,d05885a3-3fd9-49b5-b30c-dcc703ecfa93,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29:01.27.03,38.12,0.58,997.48,,0.72,10.49
647,0.63,Uber,Financial District,South Station,9.5,1.0,8c926251-7014-4fd1-9671-b67702bb4c66,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:16.06.22,41.17,0.63,991.57,,0.62,10.01
2637,3.24,Lyft,North Station,Fenway,16.5,1.0,ea2bf9be-ec81-47aa-a9fa-28f541b6a481,lyft_plus,Lyft XL,2018-11-28:09.34.34,33.25,0.42,991.83,,0.84,5.89
2501,1.36,Lyft,South Station,Back Bay,65.0,2.0,2a1d8cce-9b4c-49b8-bfef-7f4d81569021,lyft_luxsuv,Lux Black XL,2018-11-26:22.42.25,44.57,0.97,1007.93,0.0092,0.88,9.6
