,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
2679,1.64,Uber,Back Bay,Northeastern University,6.5,1.0,bdd54387-f95b-4d94-a084-9446eb50ee8b,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:10.32.07,32.62,0.16,991.43,,0.86,6.36,10,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
692,0.55,Uber,South Station,Theatre District,15.5,1.0,6b61bed5-9180-4d91-865d-ece8755983d4,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:23.02.09,39.88,0.98,995.04,,0.64,10.05,23,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
3692,3.37,Uber,Northeastern University,North Station,10.5,1.0,94f4a50e-8564-4f9c-9d88-a0169ab115c7,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:18.06.23,41.28,0.94,991.4,,0.63,9.73,18,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
3352,2.9,Lyft,North End,Back Bay,22.5,1.0,4635e48c-c28c-4fcd-b7bd-e396e657b174,lyft_premier,Lux,2018-11-29:00.53.38,38.8,0.75,996.87,,0.7,9.76,0,2018-11-29,Thursday,Lux,0,0,1,0,0,0,0
2519,3.01,Uber,Boston University,North Station,10.5,1.0,b74aad35-bc6b-4b67-9a6e-a249fb6dab2a,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:10.02.08,33.2,0.13,991.17,,0.84,5.56,10,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
347,2.27,Uber,Boston University,Beacon Hill,15.0,1.0,ee472020-8429-4c77-b21e-b28a5e5c7499,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:07.31.37,35.0,0.15,991.76,,0.8,6.59,7,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1198,1.81,Uber,Northeastern University,Theatre District,8.5,1.0,af6fe409-c441-44ee-aa9d-661d25481aed,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26:19.05.10,45.77,0.97,1010.97,,0.84,8.03,19,2018-11-26,Monday,Accessible,1,0,0,0,0,0,0
62,1.61,Uber,Haymarket Square,Theatre District,19.5,1.0,aaf1cd3d-22ff-46a7-8a39-352a2d7a08b8,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-27:00.58.49,43.95,0.98,1005.98,0.1884,0.9,9.95,0,2018-11-27,Tuesday,Sedan,0,0,0,0,1,0,0
1870,1.68,Lyft,West End,South Station,13.5,1.0,e54dbc86-2449-475f-a0ca-e76e80932d35,lyft_plus,Lyft XL,2018-11-28:23.45.57,39.72,0.88,995.86,,0.65,10.4,23,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
3,2.12,Lyft,Northeastern University,Theatre District,7.0,1.0,7902bfaf-5987-499b-9c04-222f4182c581,lyft_line,Shared,2018-11-28:17.32.07,41.47,0.85,991.67,,0.63,9.93,17,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
2164,1.06,Lyft,North End,West End,13.5,1.0,bbd798a2-eea1-4728-b1be-b6b45af2ab5e,lyft_premier,Lux,2018-11-28:14.02.07,38.41,0.48,991.64,,0.67,11.42,14,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
405,2.62,Lyft,Beacon Hill,Boston University,32.5,1.0,a247284a-60f8-492a-8e82-5a76f66ce915,lyft_luxsuv,Lux Black XL,2018-11-28:14.02.08,38.34,0.48,991.66,,0.67,11.62,14,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
2006,0.48,Lyft,South Station,Financial District,13.5,1.75,bce9cd42-bdd2-40a9-a214-923a544c45b5,lyft_plus,Lyft XL,2018-11-26:06.14.16,40.5,1.0,1014.18,,0.92,1.25,6,2018-11-26,Monday,XL,0,0,0,0,0,0,1
