,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,time_ride,date_hour,temp,location,clouds,pressure,rain,humidity,wind,time_weather
643,0.63,Lyft,Financial District,South Station,26.0,1.0,4a180790-b8cf-46a4-a144-c0263c5a2472,lyft_luxsuv,Lux Black XL,2018-11-28 16:06:22.934,2018-11-28:16.06.22,41.17,South Station,0.63,991.57,0.0,0.62,10.01,2018-11-28 16:06:22.000
1675,0.56,Uber,Haymarket Square,North Station,27.5,1.0,8fad149e-8fa2-45d0-b521-c1d9ba530d29,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-29 02:07:18.274,2018-11-29:02.07.18,38.35,North Station,0.5,997.89,0.002,0.7,10.38,2018-11-29 02:07:18.000
1389,2.85,Uber,Beacon Hill,Haymarket Square,31.0,1.0,04c07c57-a71e-4103-9c87-9816765d68a0,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 16:02:08.213,2018-11-28:16.02.08,41.22,Haymarket Square,0.63,991.56,0.0,0.62,9.89,2018-11-28 16:02:08.000
2201,1.84,Uber,North Station,South Station,27.0,1.0,0bbbd244-05e1-443b-9443-4b875140f8f0,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-12-01 02:53:00.951,2018-12-01:02.53.00,36.4,South Station,0.9,1018.82,0.0,0.7,3.77,2018-12-01 02:53:00.000
1036,1.73,Lyft,Haymarket Square,Theatre District,22.5,1.0,e65ac260-22c2-4691-9b01-f46a1dd816ec,lyft_lux,Lux Black,2018-11-28 10:02:08.053,2018-11-28:10.02.08,33.1,Theatre District,0.13,991.18,0.0,0.84,5.59,2018-11-28 10:02:08.000
1956,1.15,Lyft,Financial District,North End,16.5,1.0,833fd0eb-69f5-4015-a641-cc08bd1b1622,lyft_lux,Lux Black,2018-11-28 16:02:08.425,2018-11-28:16.02.08,41.22,North End,0.63,991.55,0.0,0.62,9.88,2018-11-28 16:02:08.000
2468,2.12,Lyft,South Station,North Station,13.5,1.0,3dab4f9f-0337-422b-814b-1a50f4ee29ac,lyft_plus,Lyft XL,2018-11-26 05:36:25.940,2018-11-26:05.36.25,40.6,North Station,0.9,1013.83,0.0,0.93,1.81,2018-11-26 05:36:25.000
2142,3.05,Uber,Fenway,North Station,17.0,1.0,db8a58c3-822d-479e-b067-132c00cc578e,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 07:31:37.678,2018-11-28:07.31.37,35.01,North Station,0.15,991.75,0.0,0.8,6.61,2018-11-28 07:31:37.000
1185,1.99,Lyft,Back Bay,Haymarket Square,13.5,1.0,43dbcf70-baa9-4049-b14e-662ce858ee30,lyft_plus,Lyft XL,2018-11-28 13:32:07.729,2018-11-28:13.32.07,37.96,Haymarket Square,0.55,991.82,0.0,0.69,6.72,2018-11-28 13:32:07.000
413,2.79,Uber,Beacon Hill,Boston University,21.5,1.0,cf699a8a-cca2-415e-8040-d5d03377cb90,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 14:02:08.773,2018-11-28:14.02.08,38.34,Boston University,0.48,991.66,0.0,0.67,11.62,2018-11-28 14:02:08.000
455,1.64,Uber,Back Bay,Northeastern University,26.0,1.0,7c58ccef-b2f9-415d-b2ae-7e8d942adcc7,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 19:02:08.484,2018-11-28:19.02.08,40.91,Northeastern University,1.0,991.84,0.0,0.64,9.43,2018-11-28 19:02:08.000
390,5.45,Lyft,Boston University,Financial District,26.0,1.0,503da725-5991-4f09-9f40-c6fe5f7b81a0,lyft_premier,Lux,2018-11-28 16:02:07.233,2018-11-28:16.02.07,41.1,Financial District,0.62,991.56,0.0,0.62,9.92,2018-11-28 16:02:07.000
275,2.15,Lyft,South Station,West End,13.5,1.0,f2968df9-0cb7-4d7a-8c6b-e320d94f3b36,lyft_plus,Lyft XL,2018-11-28 13:32:07.703,2018-11-28:13.32.07,38.31,West End,0.59,991.71,0.0,0.68,6.86,2018-11-28 13:32:07.000
83,0.59,Lyft,South Station,Theatre District,10.5,1.0,abb8cb0a-6e9b-4e5a-82e6-aa9c41a1bd60,lyft_premier,Lux,2018-11-28 14:06:23.249,2018-11-28:14.06.23,38.51,Theatre District,0.48,991.69,0.0,0.67,11.26,2018-11-28 14:06:23.000
209,2.79,Uber,Beacon Hill,Boston University,31.5,1.0,76a1f6f5-830c-48df-bc0c-db16743684fc,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 21:32:07.824,2018-11-28:21.32.07,40.45,Boston University,0.86,994.12,0.0,0.65,9.41,2018-11-28 21:32:07.000
696,4.72,Lyft,Boston University,Theatre District,42.5,1.0,6b0f2bb9-8995-4338-a9fa-955941863a66,lyft_luxsuv,Lux Black XL,2018-11-28 23:02:09.784,2018-11-28:23.02.09,39.88,Theatre District,0.98,995.04,0.0,0.64,10.05,2018-11-28 23:02:09.000
2384,2.01,Lyft,Theatre District,Northeastern University,9.0,1.0,e8accfcc-b9a7-4d7d-8c32-a8b6c63a58be,lyft,Lyft,2018-11-26 07:11:17.711,2018-11-26:07.11.17,41.05,Northeastern University,0.98,1014.34,0.0,0.93,1.8,2018-11-26 07:11:17.000
2614,1.28,Lyft,Theatre District,Haymarket Square,26.0,1.0,d795b1b7-0a61-49f4-85e1-9987011c7ef7,lyft_luxsuv,Lux Black XL,2018-11-28 07:31:37.684,2018-11-28:07.31.37,35.03,Haymarket Square,0.15,991.76,0.0,0.8,6.64,2018-11-28 07:31:37.000
2585,4.59,Lyft,Fenway,Financial District,22.5,1.0,5d29daeb-dcb6-4b20-8c84-2f3b561522e2,lyft_premier,Lux,2018-11-29 06:49:50.752,2018-11-29:06.49.50,38.11,Financial District,0.98,1000.17,0.0,0.69,10.06,2018-11-29 06:49:50.000
2833,3.08,Uber,Northeastern University,West End,17.5,1.0,e8404e4b-f3ed-4475-8aba-55ffa2821f1d,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 11:06:24.370,2018-11-28:11.06.24,33.21,West End,0.38,990.68,0.0,0.82,6.59,2018-11-28 11:06:24.000
913,1.56,Uber,Back Bay,Boston University,16.5,1.0,dec624fe-5d76-4bf1-b470-439dc8aa81f5,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 09:32:18.326,2018-11-28:09.32.18,33.59,Boston University,0.42,991.81,0.0,0.83,5.78,2018-11-28 09:32:18.000
2600,1.04,Uber,Financial District,North End,12.0,1.0,d3291fcb-1e21-4ef9-a6a7-91a6310f2d1d,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 11:06:24.971,2018-11-28:11.06.24,33.24,North End,0.37,990.67,0.0,0.82,6.63,2018-11-28 11:06:24.000
2573,1.36,Uber,Beacon Hill,Haymarket Square,27.5,1.0,25379e8f-0c41-4cbe-8a3e-9b378e508282,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 16:32:08.309,2018-11-28:16.32.08,41.13,Haymarket Square,0.68,991.6,0.0,0.63,10.38,2018-11-28 16:32:08.000
33,4.55,Uber,Financial District,Northeastern University,17.5,1.0,f50485ae-f6b5-4061-b4d4-f46c745ca912,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28 21:32:07.697,2018-11-28:21.32.07,40.23,Northeastern University,0.86,994.12,0.0,0.66,9.53,2018-11-28 21:32:07.000
895,2.88,Lyft,Boston University,West End,26.0,1.0,ab13771c-c248-4163-915a-4625b083df8e,lyft_lux,Lux Black,2018-11-29 02:09:19.609,2018-11-29:02.09.19,38.27,West End,0.49,997.92,0.002,0.7,10.4,2018-11-29 02:09:19.000
1632,2.95,Lyft,Theatre District,Boston University,16.5,1.0,a9b6d9a2-384e-4ce8-a2ef-c206a6cff59f,lyft_plus,Lyft XL,2018-11-29 08:53:00.561,2018-11-29:08.53.00,37.7,Boston University,0.63,1001.84,0.0,0.69,9.95,2018-11-29 08:53:00.000
1897,1.64,Lyft,Haymarket Square,Theatre District,16.5,1.25,2ea0cce8-6f2c-4b01-b364-5c58ca77e28b,lyft_plus,Lyft XL,2018-11-28 07:33:43.259,2018-11-28:07.33.43,34.89,Theatre District,0.13,991.58,0.0,0.8,6.71,2018-11-28 07:33:43.000
1871,0.58,Uber,South Station,Theatre District,7.0,1.0,bf6160c3-1113-40d2-9f30-46d90cc3d35f,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26 16:35:09.942,2018-11-26:16.35.09,45.38,Theatre District,0.84,1013.55,0.0,0.86,5.89,2018-11-26 16:35:09.000
1162,1.21,Lyft,Theatre District,Haymarket Square,5.0,1.0,96638fa5-00a7-4f21-af2f-349c617fd401,lyft_line,Shared,2018-11-28 21:02:08.827,2018-11-28:21.02.08,41.14,Haymarket Square,0.93,993.44,0.0,0.63,8.49,2018-11-28 21:02:08.000
3795,1.16,Uber,West End,North End,8.5,1.0,6bb52fe8-1e27-4d32-9dcc-b5ab945747ab,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 10:02:08.275,2018-11-28:10.02.08,33.28,North End,0.13,991.17,0.0,0.83,5.59,2018-11-28 10:02:08.000
2985,2.4,Lyft,Back Bay,South Station,27.5,1.0,cf3ac277-35ed-4d56-8855-946786a00fd3,lyft_lux,Lux Black,2018-11-28 07:31:37.680,2018-11-28:07.31.37,35.77,South Station,0.13,991.57,0.0,0.77,6.72,2018-11-28 07:31:37.000
2641,5.56,Uber,Boston University,Financial District,38.5,1.0,d4daa302-9339-43a7-a3cc-b76a6cd7d64e,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 14:06:23.249,2018-11-28:14.06.23,38.52,Financial District,0.48,991.69,0.0,0.67,11.22,2018-11-28 14:06:23.000
2735,1.71,Lyft,North End,Theatre District,27.5,1.0,94818cbd-99a6-4b41-8d8f-96856e190d87,lyft_luxsuv,Lux Black XL,2018-11-26 19:35:10.042,2018-11-26:19.35.10,45.71,Theatre District,0.91,1010.88,0.0,0.84,8.61,2018-11-26 19:35:10.000
3771,0.98,Lyft,Beacon Hill,Haymarket Square,34.0,1.25,ef857b8b-1e19-456c-8837-762286d842e5,lyft_luxsuv,Lux Black XL,2018-11-29 01:51:40.857,2018-11-29:01.51.40,38.52,Haymarket Square,0.57,997.62,0.002,0.7,9.98,2018-11-29 01:51:40.000
2102,1.44,Uber,South Station,West End,8.0,1.0,d74f59be-7516-4a99-bd9e-a705e43b6eb3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 16:02:07.821,2018-11-28:16.02.07,41.24,West End,0.63,991.56,0.0,0.62,9.88,2018-11-28 16:02:07.000
3693,3.37,Uber,Northeastern University,North Station,11.0,1.0,ba2d843d-efec-4221-8892-14aefc5cdc70,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28 18:06:23.160,2018-11-28:18.06.23,41.28,North Station,0.94,991.4,0.0,0.63,9.73,2018-11-28 18:06:23.000
3568,5.7,Uber,Boston University,Financial District,13.0,1.0,0709101d-9321-4146-b132-09cf7b425b57,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26 06:50:30.691,2018-11-26:06.50.30,41.65,Financial District,0.98,1014.31,0.0,0.9,1.76,2018-11-26 06:50:30.000
2287,1.92,Uber,Northeastern University,Beacon Hill,8.0,1.0,0ac43580-13f7-42e7-8eb9-cbbf0ef28c3b,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29 01:02:08.324,2018-11-29:01.02.08,38.69,Beacon Hill,0.71,997.13,0.0,0.71,9.91,2018-11-29 01:02:08.000
3386,1.61,Uber,Haymarket Square,Theatre District,8.0,1.0,15842b24-76c9-4594-ab2b-81dac816d7be,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29 02:07:18.911,2018-11-29:02.07.18,38.25,Theatre District,0.51,997.9,0.0,0.71,10.41,2018-11-29 02:07:18.000
106,5.37,Lyft,Boston University,Financial District,45.5,1.0,9f08f989-82c1-46fe-800a-6f7d864d7d5b,lyft_luxsuv,Lux Black XL,2018-11-29 01:02:08.714,2018-11-29:01.02.08,36.85,Financial District,0.71,997.12,0.0,0.76,10.0,2018-11-29 01:02:08.000
690,0.55,Uber,South Station,Theatre District,7.0,1.0,11f64abb-f634-460d-b8e2-7c0794c24fca,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 23:02:09.748,2018-11-28:23.02.09,39.88,Theatre District,0.98,995.04,0.0,0.64,10.05,2018-11-28 23:02:09.000
742,2.38,Lyft,North Station,South Station,30.0,1.0,150bb2d1-e948-4d13-96f8-d19436877c3e,lyft_luxsuv,Lux Black XL,2018-11-28 16:32:08.309,2018-11-28:16.32.08,41.24,South Station,0.67,991.61,0.0,0.63,10.43,2018-11-28 16:32:08.000
3424,3.15,Uber,Northeastern University,West End,10.5,1.0,594abb6b-863f-421c-81c9-7f570e4f342b,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28 18:06:22.718,2018-11-28:18.06.22,41.24,West End,0.94,991.41,0.0,0.63,9.73,2018-11-28 18:06:22.000
2943,3.07,Uber,North Station,Fenway,17.0,1.0,d3e8f62d-b005-4038-8746-8ccaf3a7b8c8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29 00:02:07.719,2018-11-29:00.02.07,39.1,Fenway,0.83,996.11,0.0,0.67,10.59,2018-11-29 00:02:07.000
3148,1.41,Lyft,Fenway,Back Bay,16.5,1.0,102b8a40-3600-4e88-86e2-1465991a69bd,lyft_lux,Lux Black,2018-11-29 06:41:41.158,2018-11-29:06.41.41,37.63,Back Bay,0.61,1000.62,0.0,0.71,10.5,2018-11-29 06:41:41.000
794,3.01,Uber,Boston University,North Station,26.0,1.0,6ae1bb7c-d67a-4d72-b187-5ff88c00d8a5,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26 06:49:03.280,2018-11-26:06.49.03,41.11,North Station,0.98,1014.35,0.0,0.92,1.81,2018-11-26 06:49:03.000
3389,1.73,Lyft,Haymarket Square,Theatre District,19.5,1.0,ecd5a978-2dd8-483c-b781-b9f3635db470,lyft_lux,Lux Black,2018-11-29 02:07:18.361,2018-11-29:02.07.18,38.25,Theatre District,0.51,997.9,0.0,0.71,10.41,2018-11-29 02:07:18.000
2330,2.58,Uber,Beacon Hill,South Station,9.5,1.0,07e3546e-0ce3-4a13-9563-8daced003b1e,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28 10:32:07.806,2018-11-28:10.32.07,33.55,South Station,0.17,991.34,0.0,0.83,6.45,2018-11-28 10:32:07.000
1314,7.46,Uber,Northeastern University,Financial District,28.5,1.0,01843769-73af-4067-969a-97c88d2974ac,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-26 22:42:24.217,2018-11-26:22.42.24,45.52,Financial District,0.97,1007.96,0.0118,0.84,9.72,2018-11-26 22:42:24.000
3847,2.44,Uber,Northeastern University,Financial District,24.0,1.0,b983b55e-1da7-4145-b6fd-88c547228759,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 21:02:08.884,2018-11-28:21.02.08,41.4,Financial District,0.93,993.44,0.0,0.63,8.54,2018-11-28 21:02:08.000
1764,0.91,Lyft,Financial District,Haymarket Square,16.5,1.0,6d0bb22c-5fbc-4b49-a6ef-0ca461744bd3,lyft_lux,Lux Black,2018-11-29 06:49:50.127,2018-11-29:06.49.50,37.89,Haymarket Square,0.98,1000.17,0.0,0.69,10.02,2018-11-29 06:49:50.000
2996,1.22,Lyft,North End,Financial District,13.5,1.0,01147006-eb64-44b4-b9fb-18855856a9ba,lyft_plus,Lyft XL,2018-11-26 06:16:15.948,2018-11-26:06.16.15,40.51,Financial District,1.0,1014.18,0.0,0.92,1.28,2018-11-26 06:16:15.000
2210,1.04,Uber,Financial District,North End,16.0,1.0,03442208-7e91-42a9-8777-97beca967e7a,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 16:32:08.386,2018-11-28:16.32.08,41.14,North End,0.68,991.6,0.0,0.63,10.38,2018-11-28 16:32:08.000
885,3.2,Lyft,Fenway,North Station,16.5,1.0,bb22575a-8f6b-4e8c-bcd7-19ae1791be22,lyft_plus,Lyft XL,2018-11-28 00:45:22.194,2018-11-28:00.45.22,38.87,North Station,0.04,992.09,0.0,0.73,7.52,2018-11-28 00:45:22.000
3623,1.71,Lyft,South Station,West End,9.0,1.0,9240c2bc-91e5-4e71-bb79-3d04668fd9f0,lyft,Lyft,2018-11-26 10:05:10.097,2018-11-26:10.05.10,40.75,West End,1.0,1014.75,0.0,0.93,1.87,2018-11-26 10:05:10.000
1948,1.97,Uber,Northeastern University,Beacon Hill,8.0,1.0,01cb0da4-7ba8-404d-a47c-62890faf69a4,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28 10:32:07.963,2018-11-28:10.32.07,32.83,Beacon Hill,0.16,991.41,0.0,0.85,6.38,2018-11-28 10:32:07.000
1707,1.37,Lyft,Haymarket Square,Beacon Hill,22.5,1.5,4e8da6c1-fbb3-47eb-84ee-9db97c84d519,lyft_lux,Lux Black,2018-11-26 06:14:17.770,2018-11-26:06.14.17,40.46,Beacon Hill,1.0,1014.18,0.0,0.91,1.19,2018-11-26 06:14:17.000
1960,1.22,Uber,Financial District,North End,13.0,1.0,19b441c3-69b1-4eb9-ba70-c9dfcf434190,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 16:02:08.257,2018-11-28:16.02.08,41.22,North End,0.63,991.55,0.0,0.62,9.88,2018-11-28 16:02:08.000
2635,3.24,Lyft,North Station,Fenway,7.0,1.0,882a5a80-452e-4aff-adb3-dd39d212f43b,lyft_line,Shared,2018-11-28 09:34:34.964,2018-11-28:09.34.34,33.25,Fenway,0.42,991.83,0.0,0.84,5.89,2018-11-28 09:34:34.000
1319,0.39,Uber,South Station,Financial District,6.0,1.0,6dd7cf02-34e9-44be-8ea2-a2b9dfc1bb1d,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28 00:45:22.042,2018-11-28:00.45.22,38.87,Financial District,0.04,992.1,0.0,0.73,7.53,2018-11-28 00:45:22.000
1519,2.32,Uber,Haymarket Square,Back Bay,10.5,1.0,f006ab65-f02c-42d1-ba9c-59d1c748d9da,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 13:32:08.160,2018-11-28:13.32.08,37.56,Back Bay,0.54,991.8,0.0,0.7,7.1,2018-11-28 13:32:08.000
